"anonid" "age_bin" "genderFM" "syn_selfreport" "ConsistencyScore" "SynStatus" "r" "StructureScore" "p-value"
"108" "18cab167-8c34-4027-bcbb-6056fd8468f3" "(48,58]" "female" "dunno" 265.924319198356 "NonSyn" 0.115853140148 "z-score" 0.0062
"109" "19aab3e9-0798-4e21-af45-fc3e45f41a32" NA NA NA 114.830759869508 "Syn" 0.714132934195 "z-score" 0
"110" "19c9d335-737c-43f0-b146-01b575662dc2" "[18,28]" "female" "dunno" 397.998345201127 "NonSyn" 0.00492401366454 "z-score" 0.3016
"111" "1a4103a0-fee0-43a7-a405-883f751aa18a" "(38,48]" "female" "dunno" 240.112206210031 "NonSyn" 0.0743995959951 "z-score" 0.1005
"112" "1ad830eb-a401-4c96-bdde-c626a1876e8d" "(38,48]" "female" "dunno" 135.242786613211 "Syn" 0.17566081084 "z-score" 0.0567
"113" "1aeac9db-94ef-4efd-89db-64c330a5ab72" "(68,78]" "male" "no" 146.726389782553 "NonSyn" 0.428030659308 "z-score" 0.0028
"114" "1b127d9e-a3cf-4f83-8ae4-a4d9b1d777a7" "(28,38]" "male" "no" 178.385208188149 "NonSyn" 0.545128763089 "z-score" 0
"115" "1b8bddce-f415-43ec-95bd-cee38150f2cc" "(28,38]" "male" "dunno" 86.8962142123569 "Syn" 0.242841600932 "z-score" 0.0241
"116" "1baa6c3c-7ddd-4baa-887a-47138bda4903" "(58,68]" NA NA 290.798843906062 "NonSyn" 0.224016947986 "z-score" 0.0027
"117" "1be75e36-bb82-4890-87bc-d26d5bc45a99" "(38,48]" "male" "dunno" 128.019174740489 "Syn" 0.227201199005 "z-score" 0.0384
"118" "1c08f8d0-4cb5-4d9f-89db-42c35066e73d" NA NA NA 204.136802981048 "NonSyn" 0.286886518958 "z-score" 0.0015
"119" "1c216b50-13bd-4980-b80d-9932be7f8c1b" "(48,58]" "male" "dunno" 265.916038565581 "NonSyn" 0.0511593826027 "z-score" 0.0781
"120" "1ca47522-de98-4d03-8d5b-5b8d9c3e001a" "(38,48]" "male" "no" 151.297949585643 "NonSyn" 0.569752081585 "z-score" 3e-04
"121" "1cb701c3-a4d4-4e1c-8ea6-a5f46e2f1d14" "(28,38]" "male" "dunno" 173.653067897783 "NonSyn" 0.612027831907 "z-score" 0
"122" "1cbb59c1-ed9a-4605-83e1-b3db3ee3d602" "[18,28]" "male" "yes" 93.8357936915058 "Syn" 0.217184641311 "z-score" 0.0527
"123" "1cbf9e08-5f62-4ca2-9eca-81f564f65848" NA NA NA 106.435997302112 "Syn" 0.164522647604 "z-score" 0.097
"124" "1cf0be45-ec4a-4086-bbaf-790c1e60bd7f" "(38,48]" "female" "no" 266.021881562024 "NonSyn" 0.0365325025442 "z-score" 0.2685
"125" "1d07b444-66a6-4726-b60a-3fe7880e78c3" "(48,58]" "male" "dunno" 125.696791829826 "Syn" 0.32448510378 "z-score" 5e-04
"126" "1d423ba4-6bd8-441f-bcc9-849eee8fbce6" NA NA NA 306.438294283498 "NonSyn" 0.219251750592 "z-score" 0.0071
"127" "1d538a1b-97b9-42c8-b134-2d65e9aacd8f" "(58,68]" "male" "no" 290.514272340016 "NonSyn" 0.0486274265775 "z-score" 0.1281
"128" "1d82db77-3d55-4944-8cbe-da241b392b72" "(28,38]" "female" "no" 105.501710846584 "Syn" 0.522450016458 "z-score" 2e-04
"129" "1dd75377-9d70-466e-a496-29912121afc5" "(48,58]" "female" "no" 251.509263746879 "NonSyn" 0.273556923793 "z-score" 0.0061
"130" "1e0a2e16-02fd-4ff9-a4cc-59c592fbf216" "(48,58]" "female" "no" 294.095146135028 "NonSyn" 0.0909099546183 "z-score" 0.0728
"131" "1e0d9733-497c-42ad-8594-d853f14661de" "[18,28]" "female" "dunno" 83.3967334045811 "Syn" 0.796604953097 "z-score" 0
"132" "1e170cd1-5a99-4538-ac78-df718ce36082" "[18,28]" "female" "no" 83.6682772244587 "Syn" 0.704266616389 "z-score" 0
"133" "1e72df02-a698-470a-9142-300f08f7164f" "(38,48]" "female" "dunno" 175.946519486491 "NonSyn" 0.143758689195 "z-score" 0.0282
"134" "1e8c98c0-2de8-4f21-9530-318788360a60" "(38,48]" "female" "dunno" 67.2626180012281 "Syn" 0.615168355209 "z-score" 1e-04
"135" "1f18bb58-a268-4936-b7ce-108194031ada" NA NA NA 172.551974971675 "NonSyn" -0.00506404904983 "z-score" 0.6125
"136" "1f31e7a4-adc3-4a0d-a5c5-6d6cc1db82d1" NA "female" "no" 236.534713483456 "NonSyn" 0.0650926385683 "z-score" 0.0434
"137" "1f4c6f57-7bd6-4dd1-8c03-e3d2c91a3dc5" "(48,58]" "female" "yes" 60.5777278719521 "Syn" 0.753957830256 "z-score" 0
"138" "1f8e6def-af84-48ff-ab0e-21b60e84edf0" "(58,68]" "female" "dunno" 225.812672202235 "NonSyn" 0.0524042582124 "z-score" 0.1595
"139" "1fcd6ef5-057d-4655-a314-17aee2cbac99" "(38,48]" "male" "yes" 25.1734118072102 "Syn" 0.0705803608438 "z-score" 0.0114
"140" "1ffbf570-5730-49e9-8e89-11a3757e640a" NA NA NA 148.6094886856 "NonSyn" 0.432449602475 "z-score" 1e-04
"141" "20330b6a-811c-4bf7-a434-5bbb7ec37ac1" "(28,38]" "female" "dunno" 37.3859812857115 "Syn" 0.666548611901 "z-score" 2e-04
"142" "2096df4f-8278-4088-acf5-2528692ce1ec" "(38,48]" "female" "dunno" 129.808336526991 "Syn" 0.487914072143 "z-score" 0.0018
"143" "20a3e529-2a42-48c9-a62a-413df93ee8b0" "(58,68]" "female" "dunno" 110.003710471584 "Syn" 0.521563058133 "z-score" 3e-04
"144" "20aea0f9-397a-436d-84e3-254f475ce421" "[18,28]" "female" "yes" 154.404065416044 "NonSyn" 0.287361803337 "z-score" 0.004
"145" "20cf62f8-e9ac-41fe-baf9-4c2182da99f3" NA NA NA 333.626590531102 "NonSyn" 0.00176352856152 "z-score" 0.2998
"146" "214c2fc5-87cc-44aa-8216-d9f78fb93219" "(48,58]" "female" "dunno" 197.565909155396 "NonSyn" 0.157448944747 "z-score" 4e-04
"147" "217dadbb-55f8-4d2e-bb69-0dd35f40429a" "(48,58]" "male" "dunno" 212.543192970206 "NonSyn" 0.39034175709 "z-score" 0.0012
"148" "2180fcf3-8715-4137-8cb5-e058ac1e89c8" NA NA NA 114.253351141971 "Syn" -0.0564610630987 "z-score" 0.8705
"149" "21b7275d-6145-4908-9519-32d18721b3cc" "(58,68]" "male" "dunno" 190.984701468254 "NonSyn" 0.413169335495 "z-score" 1e-04
"150" "21b7ec49-2021-4fcc-95d8-3a86c4bf5cfc" NA NA NA 196.882793047533 "NonSyn" 0.145435183833 "z-score" 0.0566
"151" "21bec4ec-c426-4dff-b42d-bbcf46fff55c" "(38,48]" "female" NA 311.478248888682 "NonSyn" 0.100793963346 "z-score" 0.0268
"152" "21bf0f59-05fd-43a5-b690-5e5b0117d00d" "(48,58]" "male" "dunno" 213.683360819999 "NonSyn" 0.428380913999 "z-score" 5e-04
"153" "21ff7d4a-0782-4285-abce-5ace8f731ad8" "(38,48]" NA NA 124.234217230176 "Syn" 0.692704079462 "z-score" 0
"154" "22610c1d-c1b9-4264-80ee-3c6b2b97b522" "(48,58]" "male" NA 356.001749512294 "NonSyn" -0.022979357294 "z-score" 0.6159
"155" "227ec798-8ea8-4439-ac6a-d02a12dfa67b" "[18,28]" "male" "dunno" 118.228908209505 "Syn" 0.578203007506 "z-score" 0
"156" "22802697-e3c2-4229-9f84-b1432ca8374d" "(48,58]" "female" "dunno" 237.747855017718 "NonSyn" 0.0564638848787 "z-score" 0.2838
"157" "22bd31b9-18b2-43c6-b7d2-841cbc44d7bc" NA NA NA 80.4938751462379 "Syn" 0.354594715123 "z-score" 0.0039
"158" "22cad414-8f17-491a-9b5e-451f3031a6de" "(38,48]" "female" "dunno" 59.9927934317278 "Syn" 0.476858241441 "z-score" 0.0018
"159" "23324e44-ce3c-4f20-a1b2-25ae8b1c32c7" NA NA NA 109.079127181223 "Syn" -0.165141273079 "z-score" 0
"160" "23868977-961f-48fb-a1d3-869ad4209708" "(48,58]" "female" "no" 182.685790284908 "NonSyn" 0.206864633691 "z-score" 0.0151
"161" "23951d0a-37e2-434f-a36c-0c2201612dfd" "(58,68]" "male" "dunno" 276.934200764494 "NonSyn" -0.0153128473585 "z-score" 0.6802
"162" "23c399f2-9e58-4583-95d2-0f964e9f5cfe" "(28,38]" "female" "dunno" 368.649594615281 "NonSyn" 0.0321433059345 "z-score" 0.1292
"163" "23dff593-c97d-4e4b-98a0-87f0d429662e" "(58,68]" NA NA 270.184607004527 "NonSyn" 0.0313115214281 "z-score" 0.1491
"164" "24ab0b56-30b9-4a36-99e2-808ca9ee26b0" "(48,58]" "male" "no" 223.053196910913 "NonSyn" -0.269454868535 "z-score" 0
"165" "24f6b3dd-bfaf-44e8-8131-431604966356" "(48,58]" "female" "no" 111.716061446109 "Syn" 0.781883133632 "z-score" 0
"166" "255b16ff-5bb4-4090-956b-61920934d8d0" NA NA NA 157.091581934177 "NonSyn" 0.225026664435 "z-score" 0.0169
"167" "25688fba-d4ea-45f7-82c3-314fd60fedfe" "(28,38]" "male" "dunno" 202.375290013634 "NonSyn" 0.0066020813712 "z-score" 0.6485
"168" "256b9963-962a-471d-9db0-d90fa26e2a1f" NA NA NA 328.518607304304 "NonSyn" 0.0231208308656 "z-score" 0.2226
"169" "25c56930-73ee-4a04-a250-69ff23e59676" "[18,28]" "female" "dunno" 200.507445567826 "NonSyn" 0.250758747246 "z-score" 0.0058
"170" "25d10444-b005-4c29-88f9-149c38fa57a2" NA NA NA 182.569171229133 "NonSyn" 0.626731503884 "z-score" 0
"171" "25ebe2d2-c71b-4523-a657-b4bb8db0be26" "(48,58]" "female" "no" 310.085626820392 "NonSyn" 0.259229537909 "z-score" 0.0013
"172" "2608ec19-0486-4b59-b27d-6b1d9e9d1afd" "(48,58]" "female" "yes" 149.861231654584 "NonSyn" 0.132592683913 "z-score" 0.0499
"173" "26175bbd-e958-467d-8c8c-eb3af3460c40" "(58,68]" "female" "no" 118.32125191332 "Syn" 0.561905437936 "z-score" 0
"174" "2679baad-16d0-4a7f-89df-6ba581cfe523" NA NA NA 253.311830071647 "NonSyn" 0.117546225338 "z-score" 0.0219
