"anonid" "setname" "item" "color1" "color2" "color3" "timing1" "timing2" "timing3"
"126" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "10" "#21D2DE" "#2BCED4" "#15E0EA" 1264 1444 1631
"127" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "16" "#E01F27" "#DE21B0" "#E01FD5" 4249 4095 3298
"128" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "set1" "07" "#67CC33" "#41E718" "#31EC13" 2454 3119 1621
"129" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "12" "#061203" "#435244" "#0AD4D8" 6694 1334 3975
"130" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "09" "#B58096" "#BD5D1D" "#BBB1A8" 3094 3026 2105
"131" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "14" "#19800B" "#5D99B4" "#A67431" 1666 5458 4155
"132" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "13" "#1D171A" "#2F9C7E" "#494144" 1273 5031 4801
"133" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "08" "#B07F15" "#AE98D7" "#9662DD" 1264 7691 2136
"134" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "02" "#47799B" "#0FD83E" "#BA5EEB" 3869 2201 2410
"135" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "03" "#74647A" "#A42838" "#DC57F9" 7552 5741 2076
"136" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "11" "#4F6851" "#888296" "#63F125" 2308 3229 7250
"137" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "05" "#24D2ED" "#B8B153" "#7E8998" 6639 2833 3198
"138" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "15" "#123624" "#3E4815" "#62AF65" 3411 4213 2239
"139" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "01" "#FC15B4" "#B4B2B4" "#F2EBEC" 5438 2392 4357
"140" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "06" "#C144A3" "#613CD9" "#A5E7BA" 5403 2859 594
"141" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "04" "#8B8A89" "#EBBA53" "#CDC291" 4058 1707 2686
"142" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "10" "#75656C" "#508ABC" "#85B779" 6893 1916 3307
"143" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "16" "#837D55" "#2EF3B3" "#F53D9D" 4947 2094 1670
"144" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "set1" "07" "#8185C1" "#EBA08B" "#B8ADF1" 3296 3582 2328
"145" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "12" "#516DAE" "#5962A6" "#5542BD" 4958 3127 3283
"146" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "09" "#49B67F" "#6846B9" "#AA5855" 8791 6824 2017
"147" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "14" "#B64953" "#C33C3F" "#BA4559" 4384 1785 4212
"148" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "13" "#5E61A1" "#4C4EB3" "#4850B7" 10005 3646 1886
"149" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "08" "#57AF50" "#2FC7D0" "#2C83D3" 3230 2276 1784
"150" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "02" "#85B34C" "#BCD827" "#84AC53" 2970 1230 1552
"151" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "03" "#A2CA35" "#AFC23D" "#9ABA45" 5960 2098 2019
"152" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "11" "#5E52AD" "#AB545E" "#4848B7" 2257 1589 2839
"153" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "05" "#7BB24D" "#74B649" "#6DB04F" 3239 975 1275
"154" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "15" "#B95046" "#6C6A95" "#B94647" 2347 4912 4844
"155" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "01" "#B4CA35" "#CAC535" "#B9C43B" 3383 2383 5045
"156" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "06" "#74A857" "#5DA659" "#77B14E" 1888 2747 2449
"157" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "04" "#56B946" "#79BA45" "#62AB54" 2035 1744 3151
"158" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "10" "#B54A50" "#B8475A" "#4D4BB4" 2829 1456 1776
"159" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "16" "#BACB34" "#31B0CE" "#AEBE41" 2807 1493 1669
"160" "01e403e4-891b-4e28-bc9b-76eb7587b713" "set1" "07" "#6AA25D" "#2A92D5" "#3B99C4" 1814 2318 1092
"161" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "12" "#EB8B14" "#847B80" "#7D7C83" 9552 10327 6196
"162" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "09" "#936C8B" "#85807A" "#788786" 22481 9289 12050
"163" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "14" "#877B78" "#748B75" "#827F7D" 5404 22190 8336
"164" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "13" "#7E7F81" "#887787" "#81827D" 3321 5838 9607
"165" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "08" "#708F77" "#7B7F84" "#75748B" 6350 9901 4746
"166" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "02" "#86797C" "#80857A" "#847B83" 8843 11179 6779
"167" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "03" "#788784" "#83857A" "#817986" 6874 6635 6805
"168" "01e8370f-22a2-434a-b86b-ebfc65f28327" "set1" "11" "#887784" "#798B74" "#80827D" 9273 5228 6998
